date,rate,timestamp
2024-09-08,15458.45,2024-09-07 23:59:49+00:00
2024-09-07,15458.45,2024-09-06 23:59:00+00:00
2024-09-06,15424.700995,2024-09-05 23:59:59+00:00
2024-09-05,15458.171549,2024-09-04 23:59:46+00:00
2024-09-04,15556.124785,2024-09-03 23:59:59+00:00
2024-09-03,15555.805026,2024-09-02 23:59:46+00:00
2024-09-02,15532.388763,2024-09-01 23:59:45+00:00
2024-09-01,15532.4,2024-08-31 23:59:41+00:00
2024-08-31,15532.4,2024-08-30 23:59:00+00:00
2024-08-30,15465.545935,2024-08-29 23:59:59+00:00
2024-08-29,15449.0,2024-08-28 23:59:52+00:00
2024-08-28,15480.792805,2024-08-27 23:59:59+00:00
2024-08-27,15482.395491,2024-08-26 23:59:59+00:00
2024-08-26,15413.870142,2024-08-25 23:59:42+00:00
2024-08-25,15401.2,2024-08-24 23:59:48+00:00
2024-08-24,15401.2,2024-08-23 23:59:00+00:00
2024-08-23,15751.0,2024-08-22 23:59:52+00:00
2024-08-22,15498.79173,2024-08-21 23:59:59+00:00
2024-08-21,15448.780992,2024-08-20 23:59:59+00:00
2024-08-20,15530.013525,2024-08-19 23:59:59+00:00
2024-08-19,15692.318069,2024-08-18 23:59:58+00:00
2024-08-18,15697.7,2024-08-17 23:59:58+00:00
2024-08-17,15697.7,2024-08-16 23:59:58+00:00
2024-08-16,15772.942394,2024-08-15 23:59:59+00:00
2024-08-15,15633.0,2024-08-14 23:59:00+00:00
2024-08-14,15755.739274,2024-08-13 23:59:28+00:00
2024-08-13,15963.221289,2024-08-12 23:59:59+00:00
2024-08-12,15924.918652,2024-08-11 23:59:58+00:00
2024-08-11,15949.9,2024-08-10 23:59:37+00:00
2024-08-10,15949.9,2024-08-09 23:59:41+00:00
2024-08-09,15988.228626,2024-08-08 23:59:59+00:00
2024-08-08,16029.748422,2024-08-07 23:59:41+00:00
2024-08-07,16175.0,2024-08-06 23:59:43+00:00
2024-08-06,16221.055416,2024-08-05 23:59:59+00:00
2024-08-05,16019.112818,2024-08-04 23:59:37+00:00
2024-08-04,16175.95,2024-08-03 23:59:43+00:00
2024-08-03,16175.95,2024-08-02 23:59:58+00:00
2024-08-02,16288.020056,2024-08-01 23:59:44+00:00
2024-08-01,16261.493294,2024-07-31 23:59:59+00:00
2024-07-31,16337.052486,2024-07-30 23:59:59+00:00
2024-07-30,16310.571222,2024-07-29 23:59:59+00:00
2024-07-29,16290.313724,2024-07-28 23:59:58+00:00
2024-07-28,16304.15,2024-07-27 23:59:37+00:00
2024-07-27,16304.15,2024-07-26 23:59:37+00:00
2024-07-26,16343.938931,2024-07-25 23:59:42+00:00
2024-07-25,16258.59734,2024-07-24 23:59:59+00:00
2024-07-24,16229.54456,2024-07-23 23:59:11+00:00
2024-07-23,16228.534059,2024-07-22 23:59:59+00:00
2024-07-22,16212.8573,2024-07-21 23:59:35+00:00
2024-07-21,16213.05,2024-07-20 23:59:29+00:00
2024-07-20,16213.05,2024-07-19 23:59:29+00:00
2024-07-19,16191.321637,2024-07-18 23:59:59+00:00
2024-07-18,16156.46266,2024-07-17 23:59:59+00:00
2024-07-17,16179.833938,2024-07-16 23:59:59+00:00
2024-07-16,16202.304885,2024-07-15 23:59:38+00:00
2024-07-15,16114.869771,2024-07-14 23:59:37+00:00
2024-07-14,16114.55,2024-07-13 23:59:48+00:00
2024-07-13,16114.55,2024-07-12 23:59:48+00:00
2024-07-12,16111.016192,2024-07-11 23:59:59+00:00
2024-07-11,16215.345699,2024-07-10 23:59:59+00:00
2024-07-10,16283.946375,2024-07-09 23:59:59+00:00
2024-07-09,16293.55,2024-07-08 23:59:59+00:00
2024-07-08,16252.119273,2024-07-07 23:59:48+00:00
2024-07-07,16251.8,2024-07-06 23:59:39+00:00
2024-07-06,16251.8,2024-07-05 23:59:43+00:00
2024-07-05,16345.592534,2024-07-04 23:59:59+00:00
2024-07-04,16355.990988,2024-07-03 23:59:59+00:00
2024-07-03,16397.651696,2024-07-02 23:59:59+00:00
2024-07-02,16394.824966,2024-07-01 23:59:59+00:00
2024-07-01,16349.611028,2024-06-30 23:59:43+00:00
2024-06-30,16350.45,2024-06-29 23:59:51+00:00
2024-06-29,16350.45,2024-06-28 23:59:13+00:00
2024-06-28,16390.618587,2024-06-27 23:59:59+00:00
2024-06-27,16432.753133,2024-06-26 23:59:43+00:00
2024-06-26,16408.619848,2024-06-25 23:59:51+00:00
2024-06-25,16400.1,2024-06-24 23:59:52+00:00
2024-06-24,16450.039016,2024-06-23 23:59:51+00:00
