ICBI,INDOBeX-CP,INDOBeX-EY,INDOBeX-GP,INDOBeX-GY,date
392.984,116.8499,6.733,118.5775,6.8044,2024-10-24
392.6726,116.7783,6.7441,118.4836,6.8151,2024-10-23
